#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0858000000e+09, 4.8277900000e-02, -1.3407340000e-02, -2.6002376302e+01, -2.7088554947e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0858500000e+09, 4.8542070000e-02, -1.4454650000e-02, -2.5908670081e+01, -2.8941492640e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0859000000e+09, 4.7871560000e-02, -1.6145460000e-02, -2.5930577068e+01, -3.2528596471e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0859500000e+09, 4.8004200000e-02, -1.6516870000e-02, -2.5888501564e+01, -3.3138344092e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0860000000e+09, 4.7718630000e-02, -1.7116140000e-02, -2.5900618244e+01, -3.4439436565e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0860500000e+09, 4.6974260000e-02, -1.8032860000e-02, -2.5965765839e+01, -3.6654012786e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0861000000e+09, 4.6945230000e-02, -1.9289280000e-02, -2.5890657840e+01, -3.8985808382e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0861500000e+09, 4.6397080000e-02, -2.0359520000e-02, -2.5905404503e+01, -4.1350976658e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0862000000e+09, 4.6258240000e-02, -2.1129580000e-02, -2.5873238006e+01, -4.2847322114e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0862500000e+09, 4.5469240000e-02, -2.2252750000e-02, -2.5913129638e+01, -4.5513355086e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0863000000e+09, 4.5308300000e-02, -2.2628020000e-02, -2.5909347542e+01, -4.6318613016e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0863500000e+09, 4.4850190000e-02, -2.4157810000e-02, -2.5858393209e+01, -4.9407458576e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0864000000e+09, 4.4107910000e-02, -2.4610690000e-02, -2.5932565514e+01, -5.0893814592e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0864500000e+09, 4.3642540000e-02, -2.4933570000e-02, -2.5975057587e+01, -5.1905932447e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
